Città,Prov,Reg,Popolazione,Superficie (km2),Densità (abitanti/km2),Altitudine (m s.l.m.)
Agrigento,AG,SIC,55.636,"243,50",228,230
Alessandria,AL,PIE,90.987,"203,57",447,95
Ancona,AN,MAR,98.664,"124,87",790,30
Andria,BT,PUG,97.173,"402,88",241,151
Aosta,AO,VDA,33.186,"21,39",1.551,583
Arezzo,AR,TOS,96.672,"384,75",251,296
Ascoli Piceno,AP,MAR,46.079,"158,02",292,154
Asti,AT,PIE,73.539,"151,31",486,123
Avellino,AV,CAM,52.568,"30,55",1.721,348
BARI,BA,PUG,316.14,"117,41",2.693,5
Barletta,BT,PUG,92.466,"149,35",619,15
Belluno,BL,VEN,35.436,"147,22",241,383
Benevento,BN,CAM,56.939,"130,83",435,135
Bergamo,BG,LOM,120.207,"40,15",2.994,249
Biella,BI,PIE,42.761,"46,69",916,420
Bologna,BO,EMR,392.203,"140,86",2.784,54
Bolzano,BZ,TAA,107.025,"52,29",2.047,262
Brescia,BS,LOM,196.85,"90,33",2.179,149
Brindisi,BR,PUG,83.169,"333,01",250,13
Cagliari,CA,SAR,148.881,"84,58",1.76,6
Caltanissetta,CL,SIC,59.063,"421,25",140,568
Campobasso,CB,MOL,47.334,"56,11",844,701
Carbonia,SU,SAR,26.39,"145,54",181,111
Caserta,CE,CAM,73.068,"54,07",1.351,68
Catania,CT,SIC,298.324,"182,80",1.632,7
Catanzaro,CZ,CAL,85.544,"112,72",759,320
Cesena,FC,EMR,96.307,"249,46",386,44
Chieti,CH,ABR,48.612,"59,57",816,330
Como,CO,LOM,83.626,"37,14",2.252,201
Cosenza,CS,CAL,63.713,"37,86",1.683,238
Cremona,CR,LOM,70.943,"70,49",1.006,45
Crotone,KR,CAL,58.478,"181,99",321,8
Cuneo,CN,PIE,55.813,"119,67",466,534
Enna,EN,SIC,25.775,"358,74",72,931
Fermo,FM,MAR,35.932,"124,53",289,319
Ferrara,FE,EMR,131.091,"405,14",324,9
Firenze,FI,TOS,367.15,"102,32",3.588,50
Foggia,FG,PUG,146.379,"509,25",287,76
Forlì,FC,EMR,116.861,"228,20",512,34
Frosinone,FR,LAZ,44.003,"46,84",939,291
Genova,GE,LIG,560.688,"240,29",2.333,19
Gorizia,GO,FVG,33.837,"41,26",820,84
Grosseto,GR,TOS,81.44,"473,53",172,10
Imperia,IM,LIG,42.06,"45,38",927,10
Isernia,IS,MOL,20.771,"69,15",300,423
L'Aquila,AQ,ABR,69.508,"473,91",147,714
La Spezia,SP,LIG,92.216,"51,40",1.794,3
Latina,LT,LAZ,127.221,"277,62",458,21
Lecce,LE,PUG,95.253,"238,82",399,49
Lecco,LC,LOM,47.06,"45,13",1.043,214
Livorno,LI,TOS,154.177,"104,71",1.472,3
Lodi,LO,LOM,44.793,"41,38",1.083,87
Lucca,LU,TOS,89.219,"185,73",480,19
Macerata,MC,MAR,40.82,"92,53",441,315
Mantova,MN,LOM,48.648,"63,81",762,19
Massa,MS,TOS,66.423,"93,84",708,65
Matera,MT,BAS,59.869,"392,08",153,401
Messina,ME,SIC,220.094,"213,76",1.03,3
Milano,MI,LOM,1.371.498,"181,68",7.549,122
Modena,MO,EMR,185.644,"183,17",1.013,34
Monza,MB,LOM,122.099,"33,09",3.69,162
Napoli,NA,CAM,914.758,"118,94",7.691,17
Novara,NO,PIE,101.727,"103,05",987,162
Nuoro,NU,SAR,34.105,"192,06",178,549
Oristano,OR,SAR,30.541,"84,57",361,9
Padova,PD,VEN,208.732,"93,03",2.244,12
Palermo,PA,SIC,630.828,"160,59",3.928,14
Parma,PR,EMR,196.655,"260,60",755,57
Pavia,PV,LOM,71.159,"63,25",1.125,77
Perugia,PG,UMB,163.598,"449,61",364,493
Pesaro,PU,MAR,95.753,"152,81",627,11
Pescara,PE,ABR,119.406,"34,33",3.478,4
Piacenza,PC,EMR,102.902,"118,23",870,61
Pisa,PI,TOS,89.828,"185,07",485,4
Pistoia,PT,TOS,89.501,"236,40",379,67
Pordenone,PN,FVG,51.818,"38,21",1.356,24
Potenza,PZ,BAS,64.786,"175,43",369,819
Prato,PO,TOS,200.762,"97,35",2.062,61
Ragusa,RG,SIC,72.69,"444,71",163,502
Ravenna,RA,EMR,156.08,"653,81",239,4
Reggio di Calabria,RC,CAL,171.8,"239,04",719,31
Reggio nell'Emilia,RE,EMR,169.029,"230,68",733,58
Rieti,RI,LAZ,45.624,"206,46",221,405
Rimini,RN,EMR,150.051,"135,79",1.105,5
Roma,RM,LAZ,2.761.632,"1.287,24",2.145,20
Rovigo,RO,VEN,50.379,"108,80",463,7
Salerno,SA,CAM,128.105,"59,85",2.14,4
Sassari,SS,SAR,121.657,"547,03",222,225
